City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
174,Lompoc,US,2021-01-30 17:00:47,34.6391,-120.4579,46.0,100,1,6.91
175,Dunedin,NZ,2021-01-30 17:00:47,-45.8742,170.5036,54.0,81,25,8.99
176,Mahebourg,MU,2021-01-30 17:00:48,-20.4081,57.7,78.8,83,75,6.91
177,Balabac,PH,2021-01-30 17:00:48,7.9868,117.0645,80.29,80,96,23.53
178,Lima,PE,2021-01-30 16:56:49,-12.0432,-77.0282,77.0,61,0,6.91
179,Amlame,TG,2021-01-30 17:00:48,7.4667,0.9,94.24,25,4,1.48
180,Mangochi,MW,2021-01-30 17:00:48,-14.4782,35.2645,75.6,86,93,5.01
181,Puerto Ayora,EC,2021-01-30 17:00:49,-0.7393,-90.3518,82.0,69,0,13.8
182,Emerald,AU,2021-01-30 17:00:49,-23.5333,148.1667,77.0,73,1,11.5
183,Pareora,NZ,2021-01-30 17:00:49,-44.4871,171.2132,50.0,88,0,7.34
184,Susangerd,IR,2021-01-30 17:00:49,31.5608,48.1831,57.2,51,0,4.61
185,Flinders,AU,2021-01-30 16:56:44,-34.5833,150.8552,73.0,87,51,5.01
186,Ribeira Grande,PT,2021-01-30 17:00:49,38.5167,-28.7,66.2,88,75,17.27
187,Rheda-Wiedenbruck,DE,2021-01-30 17:00:50,51.8497,8.3002,33.01,83,100,1.99
188,Rio Gallegos,AR,2021-01-30 17:00:50,-51.6226,-69.2181,62.6,34,75,18.41
189,Poum,NC,2021-01-30 17:00:50,-20.2333,164.0167,78.08,77,65,15.99
190,Mouzouras,GR,2021-01-30 17:00:51,35.5333,24.15,59.0,77,20,14.97
191,Ancud,CL,2021-01-30 17:00:51,-41.8697,-73.8203,64.4,52,0,6.91
192,Noumea,NC,2021-01-30 17:00:51,-22.2763,166.4572,68.0,83,0,9.64
193,Springville,US,2021-01-30 17:00:52,40.1652,-111.6107,37.0,80,75,5.75
194,Kutum,SD,2021-01-30 17:00:52,14.2,24.6667,66.16,23,0,11.63
195,Dakar,SN,2021-01-30 17:00:52,14.6937,-17.4441,78.8,41,0,11.5
196,Wattegama,LK,2021-01-30 17:00:53,6.7989,81.4808,74.23,88,97,4.56
197,Mahon,ES,2021-01-30 16:57:01,39.8885,4.2658,60.8,67,20,12.66
198,Nuuk,GL,2021-01-30 17:00:53,64.1835,-51.7216,23.0,73,20,8.05
199,Bambous Virieux,MU,2021-01-30 17:00:53,-20.3428,57.7575,80.01,83,75,6.91
200,Airai,TL,2021-01-30 17:00:53,-8.9266,125.4092,61.68,100,100,5.01
201,Fortuna,US,2021-01-30 17:00:53,40.5982,-124.1573,50.0,71,75,23.02
202,Leh,IN,2021-01-30 17:00:54,34.1667,77.5833,3.31,60,20,1.63
203,Samfya,ZM,2021-01-30 17:00:54,-11.3649,29.5565,70.84,80,97,3.6
204,Pucara,PE,2021-01-30 17:00:54,-15.9803,-71.4606,69.8,18,0,10.36
205,Porto Novo,BJ,2021-01-30 17:00:54,6.4965,2.6036,83.95,72,19,11.52
206,Bowmore,US,2021-01-30 17:00:55,34.9421,-79.3031,42.01,33,75,4.61
207,Mikkeli,FI,2021-01-30 17:00:55,61.6886,27.2723,25.0,93,90,2.3
208,Forio,IT,2021-01-30 17:00:55,40.7342,13.8646,55.99,83,51,1.01
209,Vostok,RU,2021-01-30 17:00:55,46.4856,135.8833,-18.76,88,100,3.62
210,Novyy Urengoy,RU,2021-01-30 16:56:47,66.0833,76.6333,-30.32,83,100,12.01
211,Belmonte,BR,2021-01-30 17:00:55,-15.8631,-38.8828,86.0,70,75,5.75
212,Touros,BR,2021-01-30 17:00:56,-5.1989,-35.4608,86.0,58,40,19.57
213,Grenada,ES,2021-01-30 17:00:56,37.1882,-3.6067,57.2,62,20,17.27
214,Marsabit,KE,2021-01-30 17:00:56,2.3284,37.9899,71.73,41,63,8.97
215,Nioro,GM,2021-01-30 17:00:57,13.35,-15.75,100.87,7,24,7.4
216,Sackville,CA,2021-01-30 17:00:57,45.9188,-64.3846,19.0,79,100,8.05
217,Beatrice,US,2021-01-30 17:00:57,40.2681,-96.747,39.99,93,1,4.61
218,Yarmouth,US,2021-01-30 17:00:57,41.7057,-70.2286,21.0,63,75,10.36
219,Nantucket,US,2021-01-30 17:00:57,41.2835,-70.0995,19.4,73,1,17.27
220,Nurota,UZ,2021-01-30 17:00:58,40.5614,65.6886,59.0,29,100,9.22
221,Obala,CM,2021-01-30 17:00:58,4.1667,11.5333,87.8,40,20,4.61
222,Adrar,MR,2021-01-30 17:00:58,20.5022,-10.0711,84.4,13,31,11.59
