City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
325,Tortoli,IT,39.9256,9.6572,57.2,58,40,19.57,scattered clouds
326,Bardiyah,LY,31.7561,25.0865,64.33,46,0,13.96,clear sky
327,Lampazos De Naranjo,MX,27.0167,-100.5167,73.17,20,0,9.48,clear sky
328,Mitsamiouli,KM,-11.3847,43.2844,82.63,73,48,7.85,scattered clouds
329,Shenjiamen,CN,29.9576,122.298,51.64,93,86,9.6,overcast clouds
330,Eskisehir,TR,39.7767,30.5206,41.0,87,0,8.05,clear sky
331,Panguna,PG,-6.3164,155.4848,70.75,94,100,1.25,overcast clouds
332,Saint-Philippe,RE,-21.3585,55.7679,82.4,65,0,18.41,light rain
333,Kautokeino,NO,69.0125,23.0412,15.96,96,100,11.27,overcast clouds
334,Bontang,ID,0.1333,117.5,76.6,86,89,7.18,overcast clouds
335,Chaparral,CO,3.7232,-75.4832,86.7,40,82,3.15,broken clouds
336,Sao Miguel Do Araguaia,BR,-13.275,-50.1628,86.77,66,81,3.78,heavy intensity rain
337,Gorontalo,ID,0.5412,123.0595,75.63,85,100,4.14,overcast clouds
338,Inuvik,CA,68.3499,-133.7218,-22.0,76,100,1.14,light snow
339,Tigre,AR,-34.426,-58.5796,71.01,94,90,14.97,light rain
340,Priupskiy,RU,53.9096,37.736,21.81,97,100,15.75,snow
341,Morvi,IN,22.8167,70.8333,58.51,34,0,4.56,clear sky
342,Ajdabiya,LY,30.7554,20.2263,67.44,31,0,13.58,clear sky
343,Tevaitoa,PF,-16.7833,-151.5,81.27,73,99,10.58,overcast clouds
344,Salalah,OM,17.0151,54.0924,71.6,64,0,3.44,clear sky
345,Luganville,VU,-15.5333,167.1667,78.78,79,100,1.16,overcast clouds
